lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,oy
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,oy
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,oy
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,oy
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,oy
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,oy
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,oy
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,oy
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,oy
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,oy
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,oy
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,oy
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,oy
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,oy
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,oy
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,oy
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,oy
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,oy
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,oy
